"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","82,990,528","±184,702"
"    Income in the past 12 months below poverty level:","7,273,175","±36,364"
"        Married-couple family:","2,769,102","±17,282"
"            Less than high school graduate","662,659","±8,673"
"            High school graduate (includes equivalency)","855,818","±9,735"
"            Some college, associate's degree","718,618","±6,764"
"            Bachelor's degree or higher","532,007","±5,215"
"        Other families:","4,504,073","±28,990"
"            Male householder, no spouse present:","808,374","±9,188"
"                Less than high school graduate","210,539","±4,593"
"                High school graduate (includes equivalency)","303,043","±5,235"
"                Some college, associate's degree","210,637","±3,811"
"                Bachelor's degree or higher","84,155","±2,440"
"            Female householder, no spouse present:","3,695,699","±24,213"
"                Less than high school graduate","782,618","±9,685"
"                High school graduate (includes equivalency)","1,300,468","±12,477"
"                Some college, associate's degree","1,248,487","±10,675"
"                Bachelor's degree or higher","364,126","±5,693"
"    Income in the past 12 months at or above poverty level:","75,717,353","±211,739"
"        Married-couple family:","57,868,286","±256,560"
"            Less than high school graduate","3,655,556","±23,731"
"            High school graduate (includes equivalency)","11,213,569","±32,445"
"            Some college, associate's degree","16,307,537","±63,056"
"            Bachelor's degree or higher","26,691,624","±230,578"
"        Other families:","17,849,067","±56,993"
"            Male householder, no spouse present:","5,764,445","±33,968"
"                Less than high school graduate","763,653","±9,799"
"                High school graduate (includes equivalency)","1,820,352","±17,683"
"                Some college, associate's degree","1,773,290","±13,527"
"                Bachelor's degree or higher","1,407,150","±9,987"
"            Female householder, no spouse present:","12,084,622","±34,109"
"                Less than high school graduate","1,191,806","±12,316"
"                High school graduate (includes equivalency)","3,062,300","±20,795"
"                Some college, associate's degree","4,268,177","±19,914"
"                Bachelor's degree or higher","3,562,339","±16,792"