geo_id,state_name,Abbr,fip_county,state_fip,tot_pop,male_est,female_est,under_18_years,16_years_and_over,18_years_and_over,21_years_and_over,62_years_and_over,65_years_and_over,race_pop,race_white,race_black,race_asian,race_hispanic,other_race,HOUSEHOLD_ INCOME,EDUCATIONAL _ATTAINMENT,median_income,poverty_rate,uninsured_rate,Insured,geo_fips5_extracted,geo_state_fips_2_extracted,state_fips_2,poverty_col_share_of_totpop,uninsured_col_share_of_totpop
0400000US01001,Alabama,AL,1,1001,5157699,2490551,2667148,1132203,4160138,4025496,3796788,1161521,955166,5157699,3301529,1302107,79589,5157699,128575,680934,685395,63999,4666970,640276,4347556,1001,1,1,0.904855053,0.124139854
0400000US01002,Alaska,AK,2,1002,740133,390301,349832,174198,586083,565935,539862,138571,109415,740133,434520,18548,44077,740133,15526,131125,122920,92788,696822,134276,617791,1002,1,2,0.941482139,0.181421447
0400000US01004,Arizona,AZ,4,1004,7582384,3782883,3799501,1585751,6193806,5996633,5682695,1775958,1491158,7582384,4345673,360868,302736,7582384,707919,1056916,1066295,79964,6272686,1050638,6143407,1004,1,4,0.827270948,0.138563017
0400000US01005,Arkansas,AR,5,1005,3088354,1517526,1570828,698141,2477205,2390213,2261840,684145,562707,3088354,2105944,437805,55184,3088354,96607,496745,370576,60773,2839798,455936,2702497,1005,1,5,0.919518294,0.147630744
0400000US01006,California,CA,6,1006,39431263,19675103,19756160,8411338,32089744,31019925,29426405,7905281,6524861,39431263,15013785,2110721,6349574,39431263,7433192,6769740,7206310,99122,36593372,6267799,35919912,1006,1,6,0.928029417,0.158955066
0400000US01008,Colorado,CO,8,1008,5957494,3016719,2940775,1206847,4901957,4750647,4520433,1193674,980364,5957494,4132111,253267,207526,5957494,376693,782382,1201011,95470,4934178,710571,5038017,1008,1,8,0.828230461,0.119273473
0400000US01009,Connecticut,CT,9,1009,3675069,1804896,1870173,727220,3042260,2947849,2797790,868125,713337,3675069,2340945,395358,176534,3675069,293928,315486,860803,95781,3466977,301810,3352940,1009,1,9,0.94337739,0.082123628
0400000US01010,Delaware,DE,10,1010,1051917,506763,545154,213746,863403,838171,797979,273966,227824,1051917,611856,231835,50819,1051917,56704,84857,165775,84954,874321,81122,884796,1010,1,10,0.831169189,0.077118252
0400000US01011,District of Columbia,DC,11,1011,702250,332062,370188,130018,584506,572232,543551,110753,90674,702250,263797,290136,34796,702250,39969,43900,207236,109870,570953,40009,644639,1011,1,11,0.81303382,0.056972588
0400000US01012,Florida,FL,12,1012,23372215,11488598,11883617,4491936,19432374,18880279,18066179,6048516,5094353,23372215,12663611,3451885,722622,23372215,1610549,3903988,3345946,74568,18436788,3730582,17750232,1012,1,12,0.788833579,0.159616108
0400000US01013,Georgia,GA,13,1013,11180878,5441586,5739292,2531131,8972406,8649747,8190829,2177452,1765603,11180878,5571578,3421874,547463,11180878,598698,1860317,1684769,77353,9446906,1776980,8811215,1013,1,13,0.844916294,0.158930274
0400000US01015,Hawaii,HI,15,1015,1446146,723923,722223,293560,1184486,1152586,1107788,364400,311305,1446146,317359,25487,524385,1446146,25573,99653,266456,100389,1326373,89875,1330057,1015,1,15,0.917177795,0.062147944
0400000US01016,Idaho,ID,16,1016,2001619,1007233,994386,467247,1593794,1534372,1449223,429562,355551,2001619,1619182,15547,30172,2001619,97790,273363,239741,77800,1541860,253291,1494757,1016,1,16,0.770306437,0.126543063
0400000US01017,Illinois,IL,17,1017,12710158,6280259,6429899,2692660,10362614,10017498,9535841,2752171,2274582,12710158,7650197,1679701,812604,12710158,1100865,1735208,2590995,83390,12543457,1563887,11803786,1017,1,17,0.986884427,0.123042294
0400000US01018,Indiana,IN,18,1018,6924275,3431764,3492511,1578728,5542042,5345547,5060242,1478584,1218401,6924275,5263322,631469,187569,6924275,245332,938133,952414,71957,6294417,888650,6004551,1018,1,18,0.909036253,0.128338346
0400000US01019,Iowa,IA,19,1019,3241488,1622686,1618802,727370,2601819,2514118,2373698,743308,612603,3241488,2696030,134568,83909,3241488,80480,275400,500506,75059,2950251,247162,2959825,1019,1,19,0.9101533,0.07624955
0400000US01020,Kansas,KS,20,1020,2970606,1487233,1483373,686628,2365753,2283978,2153234,653486,533774,2970606,2229436,158710,89924,2970606,117272,386652,539788,74275,2775355,343475,2601888,1020,1,20,0.934272334,0.115624556
0400000US01021,Kentucky,KY,21,1021,4588372,2274627,2313745,1020211,3691655,3568161,3386869,1003687,825850,4588372,3736188,326331,86161,4588372,80862,640302,591408,63726,4215643,566083,4131030,1021,1,21,0.918766613,0.123373388
0400000US01022,Louisiana,LA,22,1022,4597740,2242572,2355168,1062537,3657192,3535203,3356093,1001446,819864,4597740,2594108,1398231,83831,4597740,116569,785140,624717,60756,4413890,747454,4107350,1022,1,22,0.960012963,0.162569871
0400000US01023,Maine,ME,23,1023,1405012,692688,712324,244679,1190522,1160333,1109354,399102,329926,1405012,1260038,29245,18794,1405012,10286,131921,249983,74733,1293012,136759,1211175,1023,1,23,0.920285378,0.097336535
0400000US01024,Maryland,MD,24,1024,6263220,3038142,3225078,1368343,5059385,4894877,4669787,1352130,1099752,6263220,2937410,1825122,434405,6263220,460043,635190,1382878,103678,5643821,571092,5555356,1024,1,24,0.901105342,0.091181852
0400000US01025,Massachusetts,MA,25,1025,7136171,3481139,3655032,1354765,5953821,5781406,5457681,1627685,1335942,7136171,4761129,489490,551579,7136171,449063,281800,1728516,103960,6333611,252920,6564958,1025,1,25,0.887536327,0.035441976
0400000US01026,Michigan,MI,26,1026,10140459,5015542,5124917,2103755,8302384,8036704,7641145,2405037,1987859,10140459,7406982,1319957,379956,10140459,198661,1194691,1649257,72875,9656449,1065883,9291109,1026,1,26,0.952269419,0.105111909
0400000US01027,Minnesota,MN,27,1027,5793151,2897870,2895281,1290824,4663287,4502327,4273685,1289428,1056273,5793151,4398985,438523,304164,5793151,167125,473797,1117629,89062,5189200,420827,5237492,1027,1,27,0.895747409,0.07264216
0400000US01028,Mississippi,MS,28,1028,2943045,1421300,1521745,671997,2361219,2271048,2145003,648513,531347,2943045,1635264,1055971,36241,2943045,59068,522019,366905,56447,2875594,489849,2577987,1028,1,28,0.97708122,0.166442919
0400000US01029,Missouri,MO,29,1029,6245466,3080058,3165408,1366801,5049196,4878665,4641965,1419804,1169201,6245466,4845736,653876,141648,6245466,117967,767874,1010695,70702,5817852,761852,5445276,1029,1,29,0.931532091,0.121984813
0400000US01030,Montana,MT,30,1030,1137233,575447,561786,230015,936938,907218,862412,289893,241423,1137233,962408,3515,9405,1137233,11549,166624,192351,72509,964509,165335,944094,1030,1,30,0.848119075,0.145383576
0400000US01031,Nebraska,NE,31,1031,2005466,1009629,995837,479649,1585014,1525817,1440453,422224,348052,2005466,1536801,96111,55380,2005466,92000,206935,335645,76475,1776166,201560,1717091,1031,1,31,0.885662484,0.100505319
0400000US01032,Nevada,NV,32,1032,3267467,1647319,1620148,687705,2662492,2579762,2468962,701500,575351,3267467,1568971,310896,308815,3267467,439413,602227,385115,78260,2666662,553892,2575349,1032,1,32,0.816125151,0.169517244
0400000US01033,New Hampshire,NH,33,1033,1409032,702191,706841,248169,1194290,1160863,1104197,375026,303232,1409032,1233738,21273,37847,1409032,22629,143707,296069,99031,1276614,134254,1238790,1033,1,33,0.906022007,0.095281016
0400000US01034,New Jersey,NJ,34,1034,9500851,4677607,4823244,2043575,7710486,7457276,7130147,2070493,1706665,9500851,4972387,1225718,1013268,9500851,1072103,1141842,2105208,103556,8626524,1098747,8132608,1034,1,34,0.907973823,0.115647219
0400000US01035,New Mexico,NM,35,1035,2130256,1065400,1064856,443837,1743934,1686419,1601813,513355,429233,2130256,987403,50050,42644,2130256,292071,394069,332296,64059,2024716,370133,1858312,1035,1,35,0.950456659,0.173750479
0400000US01036,New York,NY,36,1036,19867248,9704610,10162638,3972535,16370499,15894713,15146314,4547873,3757173,19867248,10793935,2828127,1893851,19867248,2231063,2253132,4241029,85974,18879810,2052554,18322902,1036,1,36,0.950298199,0.103313453
0400000US01037,North Carolina,NC,37,1037,11046024,5396017,5650007,2349516,8982223,8696508,8244253,2405330,1980690,11046024,6720153,2189327,400663,11046024,617585,1557430,1651802,72388,9304553,1479285,8919431,1037,1,37,0.842344087,0.133920133
0400000US01038,North Dakota,ND,38,1038,796568,408714,387854,178027,637108,618541,581552,169136,140295,796568,653171,29903,15416,796568,10368,63874,121138,76657,651415,65428,689348,1038,1,38,0.817777013,0.082137369
0400000US01039,Ohio,OH,39,1039,11883304,5867389,6015915,2568566,9634674,9314738,8849535,2756913,2271397,11883304,9029891,1444642,328217,11883304,221958,1388791,1888726,71389,11224969,1237272,10796120,1039,1,39,0.944600004,0.104118518
0400000US01040,Oklahoma,OK,40,1040,4095393,2040182,2055211,963347,3248967,3132046,2955455,843079,692081,4095393,2626931,269583,104476,4095393,174962,688001,553298,65039,3646849,661609,3316039,1040,1,40,0.890475957,0.161549575
0400000US01041,Oregon,OR,41,1041,4272371,2128207,2144164,825249,3553832,3447122,3292781,1007985,850217,4272371,3139528,82776,211228,4272371,252157,639010,748530,83011,3765919,556283,3801587,1041,1,41,0.881458797,0.13020475
0400000US01042,Pennsylvania,PA,42,1042,13078751,6448942,6629809,2624989,10785532,10453762,9911572,3214259,2665974,13078751,9612302,1378148,546264,13078751,505424,1261759,2329307,77971,12298955,1195810,11870945,1042,1,42,0.940376875,0.091431514
0400000US01044,Rhode Island,RI,44,1044,1112308,547371,564937,203536,935797,908772,855494,270042,220168,1112308,762360,61764,41755,1112308,95036,124966,211542,87796,1012200,109120,995293,1044,1,44,0.909999748,0.098102324
0400000US01045,South Carolina,SC,45,1045,5478831,2671064,2807767,1149839,4477096,4328992,4102832,1317696,1082724,5478831,3462009,1294946,109707,5478831,143627,789767,746166,69324,4493865,737418,4375282,1045,1,45,0.820223329,0.13459404
0400000US01046,South Dakota,SD,46,1046,924669,474961,449708,217535,733633,707134,670697,214663,175902,924669,739067,18750,15776,924669,15527,95949,137964,75081,788226,92492,774556,1046,1,46,0.852441252,0.100027145
0400000US01047,Tennessee,TN,47,1047,7227750,3544910,3682840,1576399,5850310,5651351,5381996,1545986,1273979,7227750,5201024,1083961,145954,7227750,212606,888574,974947,69595,6195120,864874,5954604,1047,1,47,0.857129812,0.119660199
0400000US01048,Texas,TX,48,1048,31290831,15608512,15682319,7657490,24569557,23633341,22328747,5385472,4365469,31290831,14780203,3862943,1917758,31290831,2931351,5843597,4056248,78476,24652927,5610908,22840643,1048,1,48,0.787864247,0.179314765
0400000US01049,Utah,UT,49,1049,3503613,1778121,1725492,932753,2688278,2570860,2400994,526387,434922,3503613,2714710,43219,95743,3503613,202796,417691,463065,95166,2730176,403554,2759960,1049,1,49,0.779245881,0.115182242
0400000US01050,Vermont,VT,50,1050,648493,320167,328326,112028,553496,536465,506140,182388,148485,648493,584330,6276,13343,648493,4277,48925,143985,81203,600850,41274,595628,1050,1,50,0.926532746,0.063646022
0400000US01051,Virginia,VA,51,1051,8811195,4356641,4454554,1874030,7173696,6937165,6577380,1891408,1550385,8811195,5224503,1605505,632236,8811195,407953,1011630,1797009,93170,7780635,968444,7484692,1051,1,51,0.883039701,0.109910631
0400000US01053,Washington,WA,53,1053,7958180,4009969,3948211,1652049,6505491,6306131,6027303,1666404,1378508,7958180,5093664,326086,852985,7958180,447338,937415,1386558,98141,6615922,878242,6756018,1053,1,53,0.831336059,0.110357142
0400000US01054,West Virginia,WV,54,1054,1769979,881512,888467,347578,1469628,1422401,1357144,463323,386851,1769979,1582278,56949,12501,1769979,18888,262765,225379,59608,1799960,240355,1706690,1054,1,54,1.016938619,0.135795396
0400000US01055,Wisconsin,WI,55,1055,5960975,2984118,2976857,1233276,4882973,4727699,4493850,1437368,1171042,5960975,4741979,364289,186141,5960975,151075,524909,996371,77485,5535803,489761,5406475,1055,1,55,0.928674084,0.082161224
0400000US01056,Wyoming,WY,56,1056,587618,301319,286299,124986,480483,462632,439234,141799,117373,587618,489502,4599,5818,587618,23840,81715,88634,76176,551120,80469,509514,1056,1,56,0.93788822,0.136941006
0400000US01072,Puerto Rico,PR,72,1072,3203295,1516882,1686413,480726,2796511,2722569,2595224,924219,789514,3203295,726630,175405,5467,3203295,1062348,295357,541074,26297,3685731,259157,3175967,1072,1,72,1.150606173,0.080903257
